strain_name,strain_number,experiment_id,spectrum,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535,540,545,550,555,560,565,570,575,580,585,590,595,600,605,610,615,620,625,630,635,640,645,650,655,660,665,670,675,680,685,690,695,700
,,,DIL1B(BGRD),0.00361278,0.00380101,0.00376135,0.00358153,0.00350448,0.00329009,0.00313581,0.0030365,0.00277511,0.00258389,0.00245224,0.00231973,0.00226883,0.00220314,0.00214655,0.00203443,0.00196969,0.0019525,0.00185414,0.00182314,0.0018242,0.0017245,0.00159804,0.00160859,0.00155487,0.00153237,0.00145644,0.00142886,0.00135373,0.0013236,0.00128678,0.00128133,0.0012068,0.00117364,0.00110475,0.00100438,0.000999448,0.000979087,0.000979315,0.000950496,0.000890018,0.000858825,0.000859776,0.00084123,0.000811508,0.000797767,0.000766085,0.000760737,0.00070637,0.000734467,0.000703804,0.000678238,0.000540243,0.000593282,0.000610671
E. huxleyi,CCMP373,0603_EHUX,MILQ,0.00355477,0.00364252,0.00377865,0.00344984,0.00339394,0.00331359,0.00309234,0.00305025,0.00289643,0.00270555,0.00261829,0.00247079,0.00241102,0.00237725,0.00243362,0.00225198,0.00219065,0.00219822,0.00212628,0.00212026,0.00213061,0.00203033,0.00197908,0.00196783,0.00192668,0.001876,0.00181726,0.00176936,0.00176752,0.00175014,0.00172862,0.00174933,0.00162643,0.00157565,0.00155194,0.00144251,0.001461,0.00141992,0.0014406,0.00140123,0.00133347,0.00133227,0.00135222,0.00132289,0.00125587,0.0012993,0.00125713,0.00122652,0.00121583,0.00125395,0.00118308,0.0011874,0.00108081,0.00113707,0.00113031
,,,MILQ(FILT),0.00281764,0.00288406,0.0028851,0.00271231,0.00262615,0.00251729,0.00231676,0.00234255,0.00214841,0.00190502,0.0019224,0.00181067,0.00173345,0.00172945,0.00165947,0.00156051,0.00144947,0.00146367,0.00142289,0.00142713,0.00139688,0.00132383,0.00124314,0.00125623,0.00121907,0.00115878,0.00114465,0.00109523,0.00106903,0.00102319,0.00101294,0.00101061,0.000940256,0.00089292,0.000851261,0.00077609,0.000763092,0.000740731,0.000740557,0.00074556,0.000681648,0.000677563,0.000652782,0.000646593,0.000642949,0.000619241,0.000592851,0.000573416,0.00057859,0.000566611,0.000519906,0.000539719,0.000413993,0.000447233,0.000420036
,,,DIL1A,0.00513681,0.00512143,0.0052323,0.00503533,0.00505224,0.00483766,0.00460558,0.00448259,0.00442133,0.00425599,0.00417395,0.00386471,0.00381418,0.00385058,0.00375615,0.00360145,0.00353389,0.003484,0.00347387,0.00333844,0.00345518,0.00322198,0.00316148,0.00315819,0.00310292,0.00309041,0.00302103,0.00284562,0.00283209,0.00277492,0.00274637,0.00272933,0.00257832,0.00251954,0.00247402,0.00240853,0.00226078,0.00226794,0.00223836,0.00221245,0.00215592,0.00211233,0.00209311,0.00208815,0.0020132,0.00201358,0.00202389,0.00197273,0.00201991,0.00221535,0.00235277,0.00227058,0.00211477,0.00204363,0.00207994
,,,DIL1A(BGRD),0.00360046,0.00372992,0.00376251,0.00351689,0.0034683,0.00329829,0.00311508,0.00300014,0.00276279,0.00256124,0.00236648,0.0022592,0.00218185,0.00219804,0.00213981,0.00199852,0.00192307,0.00192838,0.00183342,0.00181461,0.00180212,0.00165578,0.00158084,0.00160343,0.00154366,0.00149768,0.0014174,0.00139414,0.00134589,0.00128929,0.0012781,0.00129269,0.00119271,0.00113915,0.00109798,0.00100324,0.000971179,0.000974116,0.000928826,0.000961467,0.000856641,0.000832347,0.000824493,0.000815783,0.00079674,0.000789004,0.000745251,0.000750032,0.000709416,0.00073011,0.000708545,0.000654945,0.000535321,0.000583004,0.000587686
,,,DIL1B,0.005139,0.00530044,0.00531961,0.00511138,0.00508197,0.00492309,0.00466311,0.00458716,0.00446017,0.00433937,0.00427625,0.00400091,0.00389086,0.00395592,0.00383327,0.00371574,0.00366913,0.00357356,0.00355434,0.0034935,0.0035428,0.0034134,0.00331167,0.00325921,0.00319992,0.00319336,0.00306175,0.00293134,0.00292829,0.00286064,0.00279691,0.00282107,0.0026844,0.00260816,0.00253497,0.00245543,0.00241096,0.00234846,0.00234486,0.00228011,0.00224589,0.00220483,0.00219048,0.00215436,0.00209874,0.00207985,0.00204435,0.0020663,0.00212751,0.00241517,0.00247001,0.00240992,0.00232001,0.00220804,0.00217126
,,,DIL1B(BGRD),0.00360855,0.00377723,0.00378495,0.00352583,0.00346085,0.00327497,0.00306691,0.00299905,0.00277639,0.00260166,0.00241208,0.00227606,0.0022442,0.00221936,0.00216904,0.00201045,0.00192488,0.00193613,0.0018302,0.00181013,0.00179914,0.00169179,0.00161701,0.00160454,0.00153461,0.00150558,0.00144709,0.0013912,0.00134644,0.00129794,0.00129437,0.00129252,0.00119419,0.00114981,0.00110595,0.00100212,0.00098838,0.000964926,0.000961648,0.00094114,0.000896598,0.000839692,0.00082908,0.000820177,0.000776365,0.000768784,0.000748167,0.000739645,0.000704156,0.000707881,0.000713166,0.000641156,0.000533756,0.000578763,0.000627114
H. triquetra,CCMP3174,0605_HTRI,MILQ,0.00339605,0.00354834,0.00353204,0.00331504,0.00327996,0.00310416,0.00301417,0.00290328,0.00270283,0.00248791,0.00247465,0.00234026,0.00226707,0.00223877,0.00223942,0.00215975,0.00207816,0.00209603,0.00199179,0.00201862,0.00199903,0.00189883,0.00185186,0.00185847,0.0018099,0.00175392,0.00170872,0.00165935,0.00166495,0.00157975,0.0016209,0.00162843,0.00153722,0.00148415,0.00142546,0.00136813,0.00136084,0.00134936,0.00132393,0.00130357,0.00123568,0.00122207,0.0012226,0.0011865,0.00117458,0.00119645,0.00115398,0.00111881,0.00114357,0.00113765,0.00109035,0.00107542,0.000954984,0.00104639,0.000986995
,,,MILQ(FILT),0.00277699,0.00288229,0.00288324,0.00266877,0.00263778,0.00248094,0.00235831,0.00236818,0.00206465,0.00192058,0.00188978,0.00176427,0.0016827,0.0017076,0.00161372,0.00159369,0.00146458,0.00144218,0.00138751,0.00140259,0.00137245,0.00130149,0.0012482,0.00122253,0.00117184,0.00116289,0.00110683,0.00108373,0.00103317,0.00102577,0.000998969,0.00100668,0.000928965,0.00087932,0.000851228,0.000777157,0.00075546,0.00075559,0.000711815,0.000728784,0.00066503,0.000650411,0.000664686,0.00064262,0.000606809,0.000600811,0.000597302,0.000575747,0.000527437,0.000554815,0.000551985,0.000495422,0.000415087,0.000474899,0.000404945
,,,DIL1A,0.00825345,0.00847989,0.00834513,0.00799446,0.00800231,0.00772918,0.00738691,0.00727227,0.0070222,0.00679345,0.00659036,0.00637446,0.00618902,0.00616497,0.00607903,0.0059118,0.00586653,0.00580595,0.00574878,0.00564657,0.00561949,0.00552125,0.00543922,0.00540171,0.00541572,0.00549913,0.00545204,0.00535003,0.00540404,0.00540018,0.00540899,0.00536586,0.00511549,0.00495007,0.0049316,0.0047795,0.00466797,0.0045341,0.00453946,0.00445652,0.00433382,0.00421444,0.00418413,0.00412981,0.00390017,0.00388095,0.00381193,0.0036311,0.00346077,0.00350599,0.00351914,0.00374823,0.00375824,0.00408265,0.00418346
